# %ECSV 0.9
# ---
# datatype:
# - {name: wave, unit: um, datatype: float64, description: Wavelength}
# - {name: n0, datatype: float64, description: 'Real index, x-axis'}
# - {name: k0, datatype: float64, description: 'Imaginary index, x-axis'}
# - {name: n1, datatype: float64, description: 'Real index, y-axis'}
# - {name: k1, datatype: float64, description: 'Imaginary index, y-axis'}
# - {name: n2, datatype: float64, description: 'Real index, z-axis'}
# - {name: k2, datatype: float64, description: 'Imaginary index, z-axis'}
# meta: !!omap
# - {name: olivine 95/5 Mg/Fe}
# - {source: "Jena Laboratory Group for \u03BB<2 \u03BCm, otherwise Jaeger et al. (1998)"}
# - {comments: Jena Lab data degraded resolution from 46 cm^-1 grid with good agreement.}
# - rho: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: g / cm3}
#     value: 3.3
# schema: astropy-2.0
wave n0 k0 n1 k1 n2 k2
0.2 1.88387713054 0.0373500100067 1.88387713054 0.0373500100067 1.88387713054 0.0373500100067
0.201816347124 1.86649343671 0.029925029245 1.86649343671 0.029925029245 1.86649343671 0.029925029245
0.20366598778 1.84960859371 0.023290943005 1.84960859371 0.023290943005 1.84960859371 0.023290943005
0.205549845838 1.83274982789 0.0202365508977 1.83274982789 0.0202365508977 1.83274982789 0.0202365508977
0.207468879668 1.81686238743 0.0181976819067 1.81686238743 0.0181976819067 1.81686238743 0.0181976819067
0.20942408377 1.80102173202 0.0161588150638 1.80102173202 0.0161588150638 1.80102173202 0.0161588150638
0.211416490486 1.78654096813 0.0141203926234 1.78654096813 0.0141203926234 1.78654096813 0.0141203926234
0.213447171825 1.77211783637 0.0120823396264 1.77211783637 0.0120823396264 1.77211783637 0.0120823396264
0.215517241379 1.75927398298 0.0100442966022 1.75927398298 0.0100442966022 1.75927398298 0.0100442966022
0.217627856366 1.74650284811 0.00800624360194 1.74650284811 0.00800624360194 1.74650284811 0.00800624360194
0.21978021978 1.73539248557 0.00596787552085 1.73539248557 0.00596787552085 1.73539248557 0.00596787552085
0.221975582686 1.72434121052 0.00505457976746 1.72434121052 0.00505457976746 1.72434121052 0.00505457976746
0.224215246637 1.71495602936 0.00450476645579 1.71495602936 0.00450476645579 1.71495602936 0.00450476645579
0.226500566251 1.70562674174 0.00395495286025 1.70562674174 0.00395495286025 1.70562674174 0.00395495286025
0.228832951945 1.69781296962 0.00340513926356 1.69781296962 0.00340513926356 1.69781296962 0.00340513926356
0.231213872832 1.690058103 0.00285532569563 1.690058103 0.00285532569563 1.690058103 0.00285532569563
0.233644859813 1.6836720845 0.00240744382524 1.6836720845 0.00240744382524 1.6836720845 0.00240744382524
0.236127508855 1.67732452061 0.00216150064611 1.67732452061 0.00216150064611 1.67732452061 0.00216150064611
