# Ice refractive index from Warren (1984) Optical constants of ice
# from the ultraviolet to the microwave, Appl. Optics, 23,
# 11,906-11,926, 1984.
#
# Wavelength (microns) 	 real  imaginary
   2.10000e-01   1.38000e+00   1.32500e-08
   2.50000e-01   1.35090e+00   8.62300e-09
   3.00000e-01   1.33390e+00   5.50400e-09
   3.50000e-01   1.32490e+00   3.76500e-09
   4.00000e-01   1.31940e+00   2.71000e-09
   4.10000e-01   1.31850e+00   2.51000e-09
   4.20000e-01   1.31770e+00   2.26000e-09
   4.30000e-01   1.31700e+00   2.08000e-09
   4.40000e-01   1.31630e+00   1.91000e-09
   4.50000e-01   1.31570e+00   1.54000e-09
   4.60000e-01   1.31510e+00   1.53000e-09
   4.70000e-01   1.31450e+00   1.55000e-09
   4.80000e-01   1.31400e+00   1.64000e-09
   4.90000e-01   1.31350e+00   1.78000e-09
   5.00000e-01   1.31300e+00   1.91000e-09
   5.10000e-01   1.31260e+00   2.14000e-09
   5.20000e-01   1.31220e+00   2.26000e-09
   5.30000e-01   1.31180e+00   2.54000e-09
   5.40000e-01   1.31140e+00   2.93000e-09
   5.50000e-01   1.31100e+00   3.11000e-09
   5.60000e-01   1.31060e+00   3.29000e-09
   5.70000e-01   1.31030e+00   3.52000e-09
   5.80000e-01   1.31000e+00   4.04000e-09
   5.90000e-01   1.30970e+00   4.88000e-09
   6.00000e-01   1.30940e+00   5.73000e-09
   6.10000e-01   1.30910e+00   6.89000e-09
   6.20000e-01   1.30880e+00   8.58000e-09
   6.30000e-01   1.30850e+00   1.04000e-08
   6.40000e-01   1.30830e+00   1.22000e-08
   6.50000e-01   1.30800e+00   1.43000e-08
   6.60000e-01   1.30780e+00   1.66000e-08
   6.70000e-01   1.30760e+00   1.89000e-08
   6.80000e-01   1.30730e+00   2.09000e-08
   6.90000e-01   1.30710e+00   2.40000e-08
   7.00000e-01   1.30690e+00   2.90000e-08
   7.10000e-01   1.30670e+00   3.44000e-08
   7.20000e-01   1.30650e+00   4.03000e-08
   7.30000e-01   1.30620e+00   4.30000e-08
   7.40000e-01   1.30600e+00   4.92000e-08
   7.50000e-01   1.30580e+00   5.87000e-08
   7.60000e-01   1.30570e+00   7.08000e-08
   7.70000e-01   1.30550e+00   8.58000e-08
   7.80000e-01   1.30530e+00   1.02000e-07
   7.90000e-01   1.30510e+00   1.18000e-07
   8.00000e-01   1.30490e+00   1.34000e-07
   8.10000e-01   1.30470e+00   1.40000e-07
   8.20000e-01   1.30450e+00   1.43000e-07
   8.30000e-01   1.30440e+00   1.45000e-07
   8.40000e-01   1.30420e+00   1.51000e-07
   8.50000e-01   1.30400e+00   1.83000e-07
   8.60000e-01   1.30380e+00   2.15000e-07
   8.70000e-01   1.30370e+00   2.65000e-07
   8.80000e-01   1.30350e+00   3.35000e-07
   8.90000e-01   1.30330e+00   3.92000e-07
   9.00000e-01   1.30320e+00   4.20000e-07
   9.10000e-01   1.30300e+00   4.44000e-07
   9.20000e-01   1.30280e+00   4.74000e-07
   9.30000e-01   1.30270e+00   5.11000e-07
   9.40000e-01   1.30250e+00   5.53000e-07
   9.50000e-01   1.30230e+00   6.02000e-07
   9.60000e-01   1.30220e+00   7.55000e-07
   9.70000e-01   1.30200e+00   9.26000e-07
   9.80000e-01   1.30180e+00   1.12000e-06
   9.90000e-01   1.30170e+00   1.33000e-06
   1.00000e+00   1.30150e+00   1.62000e-06
   1.01000e+00   1.30130e+00   2.00000e-06
   1.02000e+00   1.30120e+00   2.25000e-06
   1.03000e+00   1.30100e+00   2.33000e-06
   1.04000e+00   1.30080e+00   2.33000e-06
   1.05000e+00   1.30060e+00   2.17000e-06
   1.06000e+00   1.30050e+00   1.96000e-06
   1.07000e+00   1.30030e+00   1.81000e-06
   1.08000e+00   1.30010e+00   1.74000e-06
   1.09000e+00   1.30000e+00   1.73000e-06
   1.10000e+00   1.29980e+00   1.70000e-06
   1.11000e+00   1.29960e+00   1.76000e-06
   1.12000e+00   1.29950e+00   1.82000e-06
   1.13000e+00   1.29930e+00   2.04000e-06
   1.14000e+00   1.29910e+00   2.25000e-06
   1.15000e+00   1.29890e+00   2.29000e-06
   1.16000e+00   1.29870e+00   3.04000e-06
   1.17000e+00   1.29850e+00   3.84000e-06
   1.18000e+00   1.29840e+00   4.77000e-06
   1.19000e+00   1.29820e+00   5.76000e-06
   1.20000e+00   1.29800e+00   6.71000e-06
   1.21000e+00   1.29780e+00   8.66000e-06
   1.22000e+00   1.29760e+00   1.02000e-05
   1.23000e+00   1.29740e+00   1.13000e-05
   1.24000e+00   1.29720e+00   1.22000e-05
   1.25000e+00   1.29700e+00   1.29000e-05
   1.26000e+00   1.29690e+00   1.32000e-05
   1.27000e+00   1.29670e+00   1.35000e-05
   1.28000e+00   1.29650e+00   1.33000e-05
   1.29000e+00   1.29630e+00   1.32000e-05
   1.30000e+00   1.29610e+00   1.32000e-05
   1.31000e+00   1.29580e+00   1.31000e-05
   1.32000e+00   1.29560e+00   1.32000e-05
   1.33000e+00   1.29540e+00   1.32000e-05
   1.34000e+00   1.29520e+00   1.34000e-05
   1.35000e+00   1.29500e+00   1.39000e-05
   1.36000e+00   1.29480e+00   1.42000e-05
   1.37000e+00   1.29450e+00   1.48000e-05
   1.38000e+00   1.29430e+00   1.58000e-05
